tier	accel	keys	status	table	card	kind	target
base	XF86AudioPlay	`XF86AudioPlay`		Media and hardware keys	Volume / Play	cmd	playerctl play-pause
base	XF86AudioNext	`XF86AudioNext`		Media and hardware keys	Volume / Play	cmd	playerctl next
base	XF86AudioPrev	`XF86AudioPrev`		Media and hardware keys	Volume / Play	cmd	playerctl previous
base	XF86MonBrightnessUp	`XF86MonBrightnessUp`		Media and hardware keys	Brightness|Brightness keys	cmd	brightnessctl set +5%
base	XF86MonBrightnessDown	`XF86MonBrightnessDown`		Media and hardware keys	Brightness|Brightness keys	cmd	brightnessctl set 5%-
A	<Shift><Primary><Alt>p	`Ctrl + Shift + Alt + P`		Tier A — Print-key aliases	Ctrl + Shift + Alt + P	cmd	$BIN/omarchy-screenshot-file
A	<Shift><Primary><Alt>s	`Ctrl + Shift + Alt + S`		Tier A — Print-key aliases	Ctrl + Shift + Alt + S	cmd	$BIN/omarchy-screenshot-selection
A	<Shift><Primary><Alt>r	`Ctrl + Shift + Alt + R`		Tier A — Print-key aliases	Ctrl + Shift + Alt + R	cmd	$BIN/omarchy-screenrecord
A	<Shift><Primary><Alt>c	`Ctrl + Shift + Alt + C`		Tier A — Print-key aliases	Ctrl + Shift + Alt + C	cmd	$BIN/omarchy-color-picker
A	<Shift><Primary><Alt>o	`Ctrl + Shift + Alt + O`		Tier A — Print-key aliases	Ctrl + Shift + Alt + O	cmd	$BIN/omarchy-ocr
B	<Primary><Alt>w	`Ctrl + Alt + W`		Tier B — no-Super fallback		wm	close_window_key
B	<Primary><Alt>f	`Ctrl + Alt + F`		Tier B — no-Super fallback		wm	fullscreen_key
B	<Primary><Alt>Left	`Ctrl + Alt + Left` / `Right`		Tier B — no-Super fallback		wm	prev_workspace_key
B	<Primary><Alt>Right	`Ctrl + Alt + Left` / `Right`		Tier B — no-Super fallback		wm	next_workspace_key
B	<Primary><Alt>1	`Ctrl + Alt + 1…4`		Tier B — no-Super fallback		wm	workspace_1_key
B	<Primary><Alt>2	`Ctrl + Alt + 1…4`		Tier B — no-Super fallback		wm	workspace_2_key
B	<Primary><Alt>3	`Ctrl + Alt + 1…4`		Tier B — no-Super fallback		wm	workspace_3_key
B	<Primary><Alt>4	`Ctrl + Alt + 1…4`		Tier B — no-Super fallback		wm	workspace_4_key
B	<Shift><Primary><Alt>1	`Ctrl + Shift + Alt + 1…4`		Tier B — no-Super fallback		wm	move_window_workspace_1_key
B	<Shift><Primary><Alt>2	`Ctrl + Shift + Alt + 1…4`		Tier B — no-Super fallback		wm	move_window_workspace_2_key
B	<Shift><Primary><Alt>3	`Ctrl + Shift + Alt + 1…4`		Tier B — no-Super fallback		wm	move_window_workspace_3_key
B	<Shift><Primary><Alt>4	`Ctrl + Shift + Alt + 1…4`		Tier B — no-Super fallback		wm	move_window_workspace_4_key
B	<Primary><Alt>Return	`Ctrl + Alt + Return`, `Ctrl + Alt + T`		Tier B — no-Super fallback		cmd	alacritty
B	<Primary><Alt>t	`Ctrl + Alt + Return`, `Ctrl + Alt + T`		Tier B — no-Super fallback		cmd	alacritty
B	<Primary><Alt>space	`Ctrl + Alt + Space`		Tier B — no-Super fallback		cmd	$BIN/omarchy-menu
B	<Primary><Alt>l	`Ctrl + Alt + L`		Tier B — no-Super fallback		cmd	xflock4
B	<Primary><Alt>grave	`Ctrl + Alt + Grave`		Tier B — no-Super fallback		cmd	$BIN/omarchy-scratchpad
B	<Primary><Alt>v	`Ctrl + Alt + V`		Tier B — no-Super fallback		cmd	xfce4-popup-clipman
B	<Shift><Primary><Alt>Left	`Ctrl + Shift + Alt + Arrow`		Tier B — no-Super fallback		cmd	$BIN/omarchy-focus-direction left
B	<Shift><Primary><Alt>Right	`Ctrl + Shift + Alt + Arrow`		Tier B — no-Super fallback		cmd	$BIN/omarchy-focus-direction right
B	<Shift><Primary><Alt>Up	`Ctrl + Shift + Alt + Arrow`		Tier B — no-Super fallback		cmd	$BIN/omarchy-focus-direction up
B	<Shift><Primary><Alt>Down	`Ctrl + Shift + Alt + Arrow`		Tier B — no-Super fallback		cmd	$BIN/omarchy-focus-direction down
none		`Ctrl + Alt + Del`	Not possible	Navigating			
none		`Super + Ctrl + F`	Not possible	Navigating			
none		`Alt + Tab`	Native	Navigating	Alt + Tab		
none		`Alt + Shift + Tab`	Native	Navigating			
none		`Super + Alt + S`	Not possible	Navigating			
none		`Super + T`	Not possible	Navigating			
none		`Super + L`	Not possible	Navigating			
none		`Super + J`	Not possible	Navigating			
none		`Super + P`	Not possible	Navigating			
none		`Super + G`	Not possible	Navigating			
none		`Super + Minus` / `Super + Equal`	Native (different semantics)	Navigating			
none		`Super + Ctrl + Z`	Not possible	Navigating			
none		`Super + Ctrl + Tab`	Not possible	Navigating			
none		`Super + Ctrl + O` / `Super + Ctrl + H`	Not possible	System controls			
none		`Super + Ctrl + .`	Not possible	System controls			
none		`Super + ,`	Not possible	Notifications			
none		`Super + Shift + ,`	Not possible	Notifications			
none		`Super + Alt + ,`	Not possible	Notifications			
none		`Super + Ctrl + Space`	Emulated	Style			
none		`Super + Backspace`	**Not possible** `†`	Style	Super + Backspace		
none		`Super + Ctrl + Backspace`	Not possible	Style			
none		`Super + Ctrl + I`	Emulated	Toggles			
none		`Super + Shift + Backspace`	Not possible	Toggles			
none		`Super + Ctrl + Alt + R`	Not possible	Reminders			
none		`Super + Ctrl + Shift + R`	Not possible	Reminders			
